transaction_id,timestamp,hour_of_day,day_of_week,is_weekend,amount,txn_type,merchant_category,sender_name,sender_upi_id,sender_bank,sender_age_group,sender_state,receiver_name,receiver_upi_id,receiver_bank,device_type,network_type,fraud_flag
a3664627-9a58-4420-986e-5d753820a596,2025-07-09 17:33:36.717277,17,Wednesday,0,524.14,P2P,Peer,Gerald Vega,geraldvega@ybl,Axis Bank,26-35,Odisha,Kenneth Rich,kennethrich@upi,Axis Bank,iOS,WiFi,0
5fd251bb-049b-496b-a081-f5c125797cdc,2025-03-14 20:36:25.634031,20,Friday,0,239.6,P2M,Others,Zachary Martinez,zacharymartinez@ibl,Bank of Baroda,26-35,Tamil Nadu,Murphy-Moore,murphy-moore@upi,HDFC Bank,Android,4G,0
3ed6677e-c87f-41f6-a43f-f5a59e811621,2025-02-13 02:31:49.607169,2,Thursday,0,501.29,P2M,Others,Cynthia Clark,cynthiaclark@oksbi,ICICI Bank,18-25,Karnataka,"Hawkins, Burnett and Barajas","hawkins,burnettandbarajas@ybl",Yes Bank,iOS,WiFi,0
4adf308d-f84d-420d-b36b-18fca127678e,2025-10-14 01:14:11.562793,1,Tuesday,0,633.77,P2P,Peer,Michael Thompson,michaelthompson@oksbi,HDFC Bank,46-60,West Bengal,Mathew Smith,mathewsmith@oksbi,Punjab National Bank,Android,WiFi,0
87fa424d-6824-4d0f-8219-a4d6431ea662,2025-01-07 14:42:54.216147,14,Tuesday,0,844.63,P2P,Peer,Alison Ferguson,alisonferguson@ibl,State Bank of India,36-45,Uttar Pradesh,David White,davidwhite@oksbi,State Bank of India,Android,4G,0
6f57811b-87fc-4c53-b561-e205828ea6cb,2025-01-02 18:06:04.107436,18,Thursday,0,59.67,P2P,Peer,Allison Stephenson,allisonstephenson@oksbi,ICICI Bank,18-25,West Bengal,Rebecca Nelson,rebeccanelson@ybl,State Bank of India,Android,4G,0
4e6b5720-f4c4-47fe-a504-dc9e8074f1c6,2025-06-09 18:55:20.831090,18,Monday,0,1480.55,P2P,Peer,Ryan Padilla,ryanpadilla@okaxis,State Bank of India,46-60,Karnataka,Joseph Jackson,josephjackson@okaxis,Canara Bank,Android,WiFi,0
8dc4b729-d0e9-4b4d-bd52-c445f32d7405,2025-02-28 19:48:36.660955,19,Friday,0,1208.55,P2P,Peer,Beverly Sawyer,beverlysawyer@oksbi,State Bank of India,46-60,Tamil Nadu,Brett Patterson,brettpatterson@ibl,Bank of Baroda,iOS,WiFi,0
a6600abb-f93b-4e3a-9f3d-e2d4cf7fe027,2025-08-30 18:16:14.860779,18,Saturday,1,42.43,P2P,Peer,Audrey Day,audreyday@oksbi,Punjab National Bank,36-45,West Bengal,Michael Sweeney,michaelsweeney@ibl,State Bank of India,Android,4G,0
89330fd4-e104-43af-b576-cb2d90e0b27f,2025-03-31 20:48:26.512393,20,Monday,0,866.33,P2P,Peer,Anthony Aguirre,anthonyaguirre@ybl,HDFC Bank,36-45,Gujarat,George Thompson,georgethompson@oksbi,HDFC Bank,Android,5G,0
9ea28179-7e13-4d50-881b-7fe82cbd2d83,2025-03-01 07:27:10.823073,7,Saturday,1,271.82,P2P,Peer,Jill Morgan,jillmorgan@okaxis,Kotak Mahindra Bank,26-35,Rajasthan,Elizabeth Johnson,elizabethjohnson@upi,State Bank of India,Android,WiFi,0
4cd985c7-dd3b-49d8-8fbe-6d735833212d,2025-10-19 16:40:05.105066,16,Sunday,1,596.0,P2M,Food Delivery,Courtney Price,courtneyprice@okaxis,ICICI Bank,36-45,Tamil Nadu,"Richardson, Campbell and Deleon","richardson,campbellanddeleon@upi",State Bank of India,Android,5G,0
46a9194a-305c-4060-b51f-808f2b55155a,2025-06-07 23:33:00.193545,23,Saturday,1,501.12,P2P,Peer,Kathleen Green,kathleengreen@ybl,ICICI Bank,26-35,Maharashtra,Laura Bryan,laurabryan@ybl,ICICI Bank,Web,5G,0
6575aab2-64b7-4b96-89d0-232fbb77f406,2025-05-25 11:04:44.361327,11,Sunday,1,344.59,P2M,Others,William Cortez,williamcortez@ibl,Punjab National Bank,36-45,Tamil Nadu,Harvey LLC,harveyllc@upi,ICICI Bank,Android,4G,0
19ebfaad-f59a-4555-9c16-d6b420604d4d,2025-01-20 01:55:52.551051,1,Monday,0,498.05,P2P,Peer,Douglas Irwin,douglasirwin@upi,Bank of Baroda,46-60,Maharashtra,Donna Conway,donnaconway@ibl,Bank of Baroda,Android,5G,0
1ae88291-358f-4a06-8c51-08678d285715,2025-12-13 02:52:13.324485,2,Saturday,1,56.06,P2P,Peer,Maria Porter,mariaporter@ybl,HDFC Bank,26-35,Uttar Pradesh,Lauren Clark,laurenclark@ibl,Yes Bank,Android,4G,0
34312538-9158-4c94-b2fa-cbd68c04bc51,2025-06-21 19:22:52.446162,19,Saturday,1,46.26,P2P,Peer,Sandra Hogan,sandrahogan@ibl,Bank of Baroda,36-45,West Bengal,Heather Page,heatherpage@ybl,Axis Bank,Android,5G,0
d458a699-b2b5-4344-9eb0-e01eb2bbfb92,2025-02-02 17:23:00.507653,17,Sunday,1,340.17,P2P,Peer,Amy Zimmerman,amyzimmerman@ibl,Axis Bank,18-25,West Bengal,Sara Ellis,saraellis@oksbi,State Bank of India,Android,5G,0
f569a562-fbd1-41ea-9c71-13aa8cf09d59,2025-10-04 01:10:34.495461,1,Saturday,1,544.97,P2P,Peer,William Smith,williamsmith@upi,Punjab National Bank,26-35,Tamil Nadu,Lindsay Rodriguez,lindsayrodriguez@okaxis,Punjab National Bank,Android,WiFi,0
7afa34f9-dee8-41bf-aa12-a8611d03d3f2,2025-04-28 10:16:52.802858,10,Monday,0,401.2,P2M,Entertainment,David Acosta,davidacosta@ibl,HDFC Bank,60+,Maharashtra,Allen Inc,alleninc@oksbi,State Bank of India,Android,5G,0
b9446116-30a2-49ce-88d5-d741d8aa512f,2025-05-11 06:41:08.490006,6,Sunday,1,262.84,P2M,Grocery,Stephen Wall,stephenwall@ibl,HDFC Bank,26-35,Bihar,Davis-Choi,davis-choi@oksbi,Punjab National Bank,Android,WiFi,0
053be602-d1a9-4474-939c-980e3d15f070,2025-10-10 21:50:28.827817,21,Friday,0,1703.64,P2P,Peer,Tammy Campbell,tammycampbell@ibl,ICICI Bank,18-25,Rajasthan,Rodney Miller,rodneymiller@okaxis,ICICI Bank,Android,WiFi,0
f828d027-a72a-4035-bc1e-5115b9606c3d,2025-11-30 20:40:35.839843,20,Sunday,1,520.2,P2M,Food Delivery,Kristina Stone,kristinastone@upi,Yes Bank,26-35,Odisha,Elliott-Raymond,elliott-raymond@upi,ICICI Bank,iOS,4G,0
d7fd4f7a-28d4-4c90-b7ba-c221aa7947f5,2025-01-03 16:45:22.645299,16,Friday,0,982.17,P2P,Peer,Louis Thomas,louisthomas@oksbi,Kotak Mahindra Bank,36-45,West Bengal,Andres Roy,andresroy@upi,Punjab National Bank,Android,WiFi,0
d7e0cc78-b488-435b-a78a-18b1f9180c1e,2025-09-06 10:04:21.391616,10,Saturday,1,1253.87,P2P,Peer,Alex Mendez,alexmendez@okaxis,State Bank of India,60+,Uttar Pradesh,Maria Dillon,mariadillon@ybl,State Bank of India,Android,4G,0
70af1a46-527c-4dfb-9ca6-724ca87b096e,2025-03-31 11:08:45.742337,11,Monday,0,74.29,P2M,Food Delivery,Mary Rodriguez,maryrodriguez@okaxis,Axis Bank,18-25,Bihar,Meyer and Sons,meyerandsons@oksbi,HDFC Bank,Android,5G,0
cde6aa85-8524-4ce7-b1b7-1dbfa124bfa5,2025-03-30 03:54:13.452942,3,Sunday,1,216.9,P2P,Peer,Darrell Moreno,darrellmoreno@okaxis,State Bank of India,26-35,Uttar Pradesh,Linda Wilson,lindawilson@oksbi,HDFC Bank,Android,5G,0
9e13539c-43fa-430c-a81f-da6fdca9f7a1,2025-02-20 15:23:09.677389,15,Thursday,0,397.76,P2P,Peer,James Owens,jamesowens@oksbi,Bank of Baroda,26-35,Karnataka,Melissa Ortega,melissaortega@oksbi,ICICI Bank,Android,4G,0
1ea628db-e3ee-43ba-8195-37d925f3566f,2025-11-25 17:36:28.332872,17,Tuesday,0,1190.84,P2P,Peer,James Wilson,jameswilson@okaxis,ICICI Bank,26-35,West Bengal,Julia Harris,juliaharris@oksbi,ICICI Bank,Android,WiFi,0
72420347-be1d-4dc7-bd2d-b8ec69ff25bc,2025-01-18 17:53:21.406971,17,Saturday,1,225.38,P2P,Peer,Leslie Williams,lesliewilliams@ibl,Axis Bank,36-45,Maharashtra,Joseph Wilson,josephwilson@oksbi,Kotak Mahindra Bank,Android,4G,0
eee802ad-b616-4285-ae64-02e0dffc6621,2025-08-23 21:13:05.881605,21,Saturday,1,114.25,P2P,Peer,Anthony Bates,anthonybates@oksbi,State Bank of India,36-45,Uttar Pradesh,John Hernandez,johnhernandez@ybl,ICICI Bank,Android,4G,0
4308b3cf-adc8-400b-83c5-eedad931fb45,2025-06-19 21:07:34.389366,21,Thursday,0,323.95,P2M,Grocery,Melissa Aguilar,melissaaguilar@oksbi,Punjab National Bank,46-60,Uttar Pradesh,West-Bell,west-bell@ybl,Yes Bank,iOS,WiFi,0
af88d2e0-842b-4a1d-8a50-226a936914f4,2025-03-30 10:24:27.124062,10,Sunday,1,2131.91,P2P,Peer,Katherine Graham,katherinegraham@upi,Axis Bank,26-35,Tamil Nadu,Kelly Taylor,kellytaylor@ibl,ICICI Bank,Android,WiFi,0
ec4cd7f1-e3c0-4bc4-b0db-7f54f9cfca81,2025-10-11 11:04:52.108594,11,Saturday,1,84.74,P2P,Peer,Joseph Abbott,josephabbott@ibl,ICICI Bank,26-35,Uttar Pradesh,Kelsey Williams,kelseywilliams@okaxis,Punjab National Bank,iOS,4G,0
cde3fee8-f542-49ce-9f14-a27575fef95a,2025-04-08 07:30:31.072075,7,Tuesday,0,452.0,P2P,Peer,Shelby Mcconnell,shelbymcconnell@okaxis,Axis Bank,18-25,Tamil Nadu,James Jefferson MD,jamesjeffersonmd@ibl,State Bank of India,Android,WiFi,0
c7e34910-d3a9-4891-87aa-d26b0501edbe,2025-09-21 07:44:06.460720,7,Sunday,1,123.37,P2P,Peer,Doris Hampton,dorishampton@ibl,HDFC Bank,26-35,Bihar,Rhonda Collins,rhondacollins@oksbi,State Bank of India,iOS,5G,0
298f26f2-eb88-4fb0-bfe3-1864365c9a31,2025-06-05 17:02:30.852639,17,Thursday,0,271.93,P2P,Peer,Jennifer Mcdonald,jennifermcdonald@oksbi,ICICI Bank,26-35,Tamil Nadu,Matthew Collins,matthewcollins@oksbi,HDFC Bank,Android,WiFi,0
e70ae0dd-73f4-4fe4-9b70-a184fd98bdcf,2025-04-08 17:37:27.230650,17,Tuesday,0,754.39,P2P,Peer,Haley Brooks,haleybrooks@upi,Axis Bank,18-25,Uttar Pradesh,Kristen Harrison,kristenharrison@upi,Kotak Mahindra Bank,Android,4G,0
f0c0c338-a26a-428d-ac45-f84bb5a43672,2025-08-14 18:38:53.604756,18,Thursday,0,286.85,P2P,Peer,Ashley Hoffman,ashleyhoffman@oksbi,ICICI Bank,26-35,West Bengal,Matthew Martin,matthewmartin@oksbi,Bank of Baroda,iOS,WiFi,0
96bea10f-5da1-427e-9ad0-a7fc013497ed,2025-12-25 11:04:21.003219,11,Thursday,0,212.08,P2P,Peer,Erika Hall,erikahall@upi,Axis Bank,26-35,Uttar Pradesh,Carrie James,carriejames@upi,ICICI Bank,Android,5G,0
d7fd5444-79e0-460c-8d5f-ad41a3ae0c55,2025-02-25 11:10:51.721900,11,Tuesday,0,125.67,P2P,Peer,Christopher Knight,christopherknight@okaxis,Kotak Mahindra Bank,26-35,Bihar,Kathleen Morse,kathleenmorse@ybl,Bank of Baroda,Android,5G,0
9de954a1-d412-406a-845f-5eebf7ef25e4,2025-09-06 10:04:28.477282,10,Saturday,1,468.3,P2P,Peer,Shannon Davis,shannondavis@okaxis,Axis Bank,36-45,Delhi,Christina Brown,christinabrown@upi,Axis Bank,Android,WiFi,0
357d3e79-350a-449c-9423-532108da2ff6,2025-09-27 09:13:54.192454,9,Saturday,1,1763.17,P2P,Peer,Christopher Riley,christopherriley@ybl,Axis Bank,60+,Uttar Pradesh,Jennifer Lang,jenniferlang@oksbi,State Bank of India,iOS,WiFi,0
fd53e289-154d-42d1-a737-4089ea826a0b,2025-03-13 16:26:41.788196,16,Thursday,0,421.73,P2P,Peer,Joseph Parsons,josephparsons@ybl,State Bank of India,60+,Maharashtra,Kirk Morgan,kirkmorgan@okaxis,State Bank of India,Android,WiFi,0
334e106d-6155-40fe-b684-5c6e3bd8a3a0,2025-03-26 21:19:22.556042,21,Wednesday,0,20.28,P2P,Peer,Sherry Medina,sherrymedina@ybl,State Bank of India,60+,Bihar,Jonathan Mcconnell,jonathanmcconnell@ybl,HDFC Bank,Android,4G,0
f2631f1a-bd7a-4021-bdb8-3c173f85bdb3,2025-04-27 20:22:13.372441,20,Sunday,1,193.24,P2P,Peer,Megan Larson,meganlarson@upi,State Bank of India,36-45,Odisha,Sandra Morris,sandramorris@upi,HDFC Bank,Android,WiFi,0
81434bd7-1f00-4275-8f3c-ebc1f7b2357e,2025-06-18 18:53:42.955120,18,Wednesday,0,182.44,P2M,Food Delivery,Jacqueline Ballard,jacquelineballard@ibl,State Bank of India,26-35,Maharashtra,"Schmitt, Lee and Chen","schmitt,leeandchen@ibl",HDFC Bank,Android,4G,0
19575995-684a-4f3c-af62-6b69fbd8182c,2025-08-05 10:54:38.307555,10,Tuesday,0,426.48,P2P,Peer,Nathan Davis,nathandavis@ybl,HDFC Bank,36-45,Rajasthan,Jesse Phillips,jessephillips@upi,Punjab National Bank,iOS,4G,0
1b30fa12-1e8c-4b10-8858-d20cbee21a55,2025-08-24 19:30:45.644609,19,Sunday,1,873.11,P2M,Others,Travis Parsons,travisparsons@upi,Canara Bank,26-35,Tamil Nadu,Warren LLC,warrenllc@ybl,HDFC Bank,Android,4G,0
9f287b00-5595-48ff-9a54-821b412c8a20,2025-10-26 07:13:56.165553,7,Sunday,1,958.08,P2P,Peer,Kendra Morris,kendramorris@ybl,State Bank of India,18-25,Uttar Pradesh,Lauren Wallace,laurenwallace@oksbi,Axis Bank,Android,WiFi,0
12f4dd3c-82d1-4e49-bb4e-6a7b3cf77c67,2025-10-07 12:58:41.932264,12,Tuesday,0,112.43,P2P,Peer,Morgan Ibarra,morganibarra@okaxis,ICICI Bank,26-35,Delhi,Mark Garcia,markgarcia@ibl,ICICI Bank,Android,WiFi,0
87aa276d-e137-481a-8bb9-47ac41c0c1bb,2025-03-31 20:26:33.533547,20,Monday,0,560.11,P2P,Peer,Dawn Armstrong,dawnarmstrong@ybl,State Bank of India,46-60,Maharashtra,Thomas Norris,thomasnorris@oksbi,ICICI Bank,Android,4G,0
cb217e82-eed3-4c1d-bba9-8d7bc9186cf4,2025-08-18 23:45:42.926566,23,Monday,0,546.76,P2P,Peer,Zoe Lewis,zoelewis@ibl,Axis Bank,26-35,Maharashtra,Katrina Kemp,katrinakemp@oksbi,ICICI Bank,Android,5G,0
7e188a16-dbb2-4ec8-a4e9-9e5bbc79e605,2025-05-12 11:04:29.542609,11,Monday,0,975.3,P2M,Grocery,Christopher Murray,christophermurray@ybl,Kotak Mahindra Bank,26-35,West Bengal,Gordon Inc,gordoninc@oksbi,State Bank of India,iOS,WiFi,0
c77990f4-b4db-43ff-bbaf-08de8558ec58,2025-04-15 20:10:31.087501,20,Tuesday,0,481.51,P2P,Peer,Tammy Rich,tammyrich@okaxis,ICICI Bank,26-35,West Bengal,Jerry Mooney,jerrymooney@ybl,HDFC Bank,Android,4G,0
1b508c29-a317-4caa-9886-b8c199643d2d,2025-01-05 20:57:41.242379,20,Sunday,1,1560.68,P2P,Peer,Dr. Denise Fox,dr.denisefox@ybl,ICICI Bank,36-45,Gujarat,Peter Wright,peterwright@ybl,HDFC Bank,Android,WiFi,0
2cb0e89a-b5e2-4ff9-9a74-c431c8493ac0,2025-02-14 17:53:20.698567,17,Friday,0,241.91,P2P,Peer,Michael Bauer,michaelbauer@oksbi,Punjab National Bank,26-35,Gujarat,Abigail Weber,abigailweber@upi,ICICI Bank,Android,5G,0
fdb33c0c-abbb-48b2-8b9e-17dfda6c29f1,2025-02-16 16:21:22.532861,16,Sunday,1,1958.76,P2P,Peer,Leonard Acosta,leonardacosta@ybl,Bank of Baroda,46-60,Karnataka,Heather Shea,heathershea@okaxis,Axis Bank,Android,4G,0
0106e6e9-b364-4563-a679-33e2b0c88a0d,2025-03-16 17:53:20.528704,17,Sunday,1,3411.01,P2M,Others,Mariah Miller,mariahmiller@upi,Kotak Mahindra Bank,26-35,Uttar Pradesh,Anderson-Parker,anderson-parker@oksbi,ICICI Bank,Android,WiFi,0
80764cb8-b77f-4207-94d0-e3321b2fab02,2025-02-07 21:55:45.109180,21,Friday,0,466.74,P2P,Peer,Sandra Diaz,sandradiaz@oksbi,State Bank of India,18-25,Uttar Pradesh,Jean Jones,jeanjones@oksbi,Canara Bank,Android,WiFi,0
6cc37900-4846-4199-b0be-9cd076f8940f,2025-03-02 10:23:05.584909,10,Sunday,1,304.41,P2P,Peer,Brenda Lowe,brendalowe@oksbi,HDFC Bank,46-60,Bihar,Cheryl Roman,cherylroman@oksbi,Punjab National Bank,Android,WiFi,0
ab5e26cc-a53b-4650-bea5-f70ad2d399f3,2025-01-18 20:01:18.161551,20,Saturday,1,270.79,P2M,Recharge,Robert Waters,robertwaters@ybl,HDFC Bank,46-60,Maharashtra,"Cole, Mills and Andrews","cole,millsandandrews@ybl",Kotak Mahindra Bank,Android,WiFi,0
36cea8f4-2199-4f2d-a7b3-23a2726a2c6a,2025-01-14 15:09:17.291640,15,Tuesday,0,2028.56,P2P,Peer,Michael Thompson,michaelthompson@ybl,ICICI Bank,36-45,Karnataka,Sandra Stephens,sandrastephens@upi,State Bank of India,Android,4G,0
61f52d23-8e72-48b2-b0af-5307233777d1,2025-10-22 21:49:30.295768,21,Wednesday,0,495.29,P2P,Peer,David Graves,davidgraves@ybl,State Bank of India,36-45,Maharashtra,Christopher Lambert,christopherlambert@okaxis,State Bank of India,Android,4G,0
3216425a-f8e8-4726-a29a-9215b8d722bc,2025-07-06 18:09:21.766776,18,Sunday,1,391.29,P2M,Bill Payment,Katherine Foster,katherinefoster@ybl,Kotak Mahindra Bank,18-25,Tamil Nadu,Frye Ltd,fryeltd@upi,State Bank of India,Android,5G,0
5ad95c63-68a8-47af-beb4-4421b814f7b4,2025-07-22 08:19:43.263891,8,Tuesday,0,925.72,P2P,Peer,Benjamin Jones,benjaminjones@ybl,HDFC Bank,36-45,Maharashtra,Laura Taylor,laurataylor@oksbi,Axis Bank,iOS,WiFi,0
9c08075a-f350-449f-9991-2ef65781aa55,2025-04-08 19:46:07.867451,19,Tuesday,0,252.95,P2P,Peer,Brianna Lewis,briannalewis@ibl,Bank of Baroda,26-35,Bihar,Alyssa Diaz,alyssadiaz@ibl,Kotak Mahindra Bank,Android,5G,0
f024769a-0121-4ca9-891d-39ba6f4ff1d6,2025-11-12 17:41:23.203862,17,Wednesday,0,1616.55,P2P,Peer,Greg Glover,gregglover@ibl,ICICI Bank,36-45,Uttar Pradesh,Steven Lopez,stevenlopez@ybl,Axis Bank,Android,4G,0
85a49928-1cbe-4494-9004-3572d90190ae,2025-12-01 01:02:10.834272,1,Monday,0,107.4,P2P,Peer,Brian Williams,brianwilliams@oksbi,HDFC Bank,36-45,Odisha,Joseph Smith,josephsmith@ibl,ICICI Bank,iOS,5G,0
81d080a0-1990-4b83-99f1-7db9341795c9,2025-11-12 21:40:30.797970,21,Wednesday,0,677.05,P2P,Peer,David Hahn,davidhahn@ibl,State Bank of India,46-60,Rajasthan,Scott Wallace,scottwallace@ibl,Kotak Mahindra Bank,Android,4G,0
687ce632-6394-4345-b175-d85f08389a19,2025-11-14 11:34:16.121929,11,Friday,0,715.93,P2M,Bill Payment,Melissa Thomas,melissathomas@ibl,HDFC Bank,36-45,Karnataka,Nichols-Bell,nichols-bell@ibl,Bank of Baroda,iOS,5G,0
e358149d-15e7-4a58-9fa8-7ce55612b657,2025-01-13 21:46:40.963299,21,Monday,0,87.35,P2P,Peer,Michael Garcia,michaelgarcia@ybl,State Bank of India,36-45,Maharashtra,Carl Stevenson,carlstevenson@ybl,Kotak Mahindra Bank,Android,WiFi,0
bda9b0fb-bfeb-4034-b6af-d5778542972a,2025-08-08 19:00:21.631435,19,Friday,0,330.99,P2P,Peer,Mark Stafford,markstafford@okaxis,Yes Bank,26-35,Maharashtra,Andrew Black,andrewblack@ibl,Axis Bank,Android,WiFi,0
8ef64835-b0ae-4aba-8bc2-ce33260c56cc,2025-07-25 07:07:52.938479,7,Friday,0,1741.22,P2M,Bill Payment,Kimberly Taylor,kimberlytaylor@upi,State Bank of India,18-25,Karnataka,Spencer-Martin,spencer-martin@okaxis,ICICI Bank,Android,5G,0
e3abc366-3b70-4073-a8fa-970422fe8fd4,2025-06-12 11:03:00.885788,11,Thursday,0,340.13,P2P,Peer,David Terry,davidterry@ibl,HDFC Bank,26-35,Uttar Pradesh,Kathryn Shah,kathrynshah@upi,ICICI Bank,Android,5G,0
79aa896b-42ee-47d8-bc31-0349a99edb4b,2025-05-15 19:02:57.259499,19,Thursday,0,2819.45,P2P,Peer,Kathleen Patel MD,kathleenpatelmd@upi,HDFC Bank,26-35,Karnataka,Mary May,marymay@upi,ICICI Bank,Android,5G,0
fd22716d-b0b8-4b52-8c7b-ad1c0dc30af5,2025-08-04 20:42:31.293466,20,Monday,0,101.28,P2P,Peer,Elizabeth Evans,elizabethevans@okaxis,ICICI Bank,26-35,West Bengal,Lindsay Stuart,lindsaystuart@okaxis,Axis Bank,Android,4G,0
4b8ee8bd-ceec-4451-a4ed-a6be9ac986ba,2025-01-04 20:45:48.944322,20,Saturday,1,1645.5,P2P,Peer,Daniel Prince,danielprince@oksbi,HDFC Bank,46-60,Maharashtra,Chase Hart,chasehart@oksbi,Punjab National Bank,Android,4G,0
d736a4e9-c398-458c-8a39-9536b2fee31f,2025-09-23 10:06:02.919764,10,Tuesday,0,991.57,P2P,Peer,Gabriel Jones,gabrieljones@oksbi,HDFC Bank,26-35,West Bengal,Damon Taylor,damontaylor@upi,HDFC Bank,iOS,4G,0
e0593e04-8183-4508-9f26-c16fda604961,2025-04-10 22:52:51.353549,22,Thursday,0,546.41,P2M,Food Delivery,Richard Garcia,richardgarcia@okaxis,Axis Bank,46-60,Uttar Pradesh,Bennett-Taylor,bennett-taylor@oksbi,Axis Bank,iOS,5G,0
9e3b8d55-f4ca-413b-8479-49acc08fe9e8,2025-10-26 21:14:54.227308,21,Sunday,1,341.01,P2M,Entertainment,Thomas Cardenas,thomascardenas@okaxis,HDFC Bank,26-35,Maharashtra,Schwartz Inc,schwartzinc@okaxis,HDFC Bank,Android,4G,0
af332e31-4865-4ac1-b1c6-f3ccc4d7d6d2,2025-02-19 12:41:40.691670,12,Wednesday,0,382.96,P2P,Peer,Benjamin Miranda,benjaminmiranda@okaxis,Axis Bank,18-25,Maharashtra,Anthony Larsen,anthonylarsen@ybl,Canara Bank,Android,4G,0
2adf4a6e-8e7a-4067-ae35-98b6d3cbd928,2025-02-18 00:08:22.630242,0,Tuesday,0,186.93,P2P,Peer,Melinda Martinez,melindamartinez@upi,HDFC Bank,60+,Maharashtra,Charles Miller,charlesmiller@upi,HDFC Bank,Android,WiFi,0
c146ee8a-dee0-459f-8184-f706cee4be9f,2025-09-18 20:57:32.566608,20,Thursday,0,2.87,P2P,Peer,Jenna Ellis,jennaellis@oksbi,Punjab National Bank,26-35,Maharashtra,Donald Moran,donaldmoran@upi,ICICI Bank,Android,5G,0
d98c9cf1-e393-41bd-9d10-118883ae3fc9,2025-11-19 18:33:48.531322,18,Wednesday,0,276.76,P2P,Peer,Curtis Sanchez,curtissanchez@ibl,ICICI Bank,18-25,Gujarat,Tracy Stephens,tracystephens@oksbi,State Bank of India,Android,4G,0
b6cbbeb5-a7aa-4ae8-8d06-6e3470a58ebd,2025-01-31 15:53:47.917790,15,Friday,0,129.1,P2P,Peer,Laura Hutchinson,laurahutchinson@ibl,Bank of Baroda,46-60,Odisha,Sean Collier,seancollier@okaxis,Axis Bank,Android,5G,0
bf4632bd-3846-4f25-a128-7631c4be12f6,2025-05-01 11:29:11.488350,11,Thursday,0,2197.34,P2M,Grocery,Michael Rogers,michaelrogers@ibl,State Bank of India,18-25,Odisha,Adkins-Kelley,adkins-kelley@ybl,State Bank of India,Android,WiFi,0
8bb13644-f015-48d8-a835-6af096fb7a57,2025-04-21 20:17:57.795586,20,Monday,0,625.76,P2M,Food Delivery,Richard Casey,richardcasey@okaxis,Axis Bank,36-45,West Bengal,Howard-Young,howard-young@okaxis,Canara Bank,Android,5G,0
