transaction_id,timestamp,hour_of_day,day_of_week,is_weekend,amount,transfer_ratio,txn_type,merchant_category,sender_name,sender_upi_id,sender_bank,sender_age_group,sender_state,receiver_name,receiver_upi_id,receiver_bank,device_type,network_type,fraud_flag
7ffebd8f-23e8-4f74-85a5-57f6167760b8,2025-09-26 09:00:30.850353,9,Friday,0,2690.08,0.017,P2M,Travel,Susan Hood,susanhood@ybl,ICICI Bank,36-45,Karnataka,"Clark, Brown and Hardy","clark,brownandhardy@okaxis",Punjab National Bank,Android,5G,0
4421c678-7f55-43b3-a1a2-bf3692c3042b,2025-03-11 11:49:09.149894,11,Tuesday,0,2619.55,0.026,P2P,Peer,William Anderson,williamanderson@okaxis,Bank of Baroda,36-45,Karnataka,Nicole Miller,nicolemiller@ybl,ICICI Bank,Android,5G,0
df97d56d-2952-4402-be40-3d0efcc7d1dd,2025-07-20 20:40:31.505483,20,Sunday,1,5321.41,0.099,P2P,Peer,Nicole Miller,nicolemiller@ybl,HDFC Bank,60+,Tamil Nadu,Evelyn Thompson,evelynthompson@oksbi,Kotak Mahindra Bank,Android,4G,0
996b14a5-c12b-4fa7-b9de-dc1f469082f3,2025-05-25 11:03:56.873233,11,Sunday,1,2762.17,0.021,P2P,Peer,Jessica Franco,jessicafranco@okaxis,Axis Bank,18-25,Tamil Nadu,Amanda Davis,amandadavis@oksbi,Axis Bank,Android,4G,0
6a2895ce-d5b0-4532-9ae0-a843f0cc2a79,2025-05-04 12:01:20.200199,12,Sunday,1,746.77,1.0,P2M,Grocery,Amber Johnson,amberjohnson@upi,Axis Bank,26-35,Tamil Nadu,"Johnson, Richard and Wong","johnson,richardandwong@upi",State Bank of India,Android,WiFi,1
72163677-6e2d-40b6-8c21-540e708241f6,2025-06-28 19:26:05.916154,19,Saturday,1,944.41,0.009,P2P,Peer,Ebony Miller,ebonymiller@ibl,ICICI Bank,46-60,Maharashtra,David Todd,davidtodd@ybl,State Bank of India,Android,WiFi,0
f2033d1c-4678-4c0d-9056-bcb36e74fc6d,2025-06-21 18:50:53.420444,18,Saturday,1,646.98,0.049,P2P,Peer,Anthony Myers,anthonymyers@upi,State Bank of India,60+,Tamil Nadu,Jesse Rodriguez,jesserodriguez@okaxis,Yes Bank,Android,5G,0
f96ef45a-6548-4ce4-9109-2b544f91a13e,2025-07-16 10:21:35.295727,10,Wednesday,0,627.08,0.005,P2P,Peer,Andrew Foster,andrewfoster@oksbi,HDFC Bank,26-35,Maharashtra,Shane Smith,shanesmith@oksbi,State Bank of India,Android,WiFi,0
eca46f05-4c25-4ea5-bf7f-cc99d6484b4f,2025-04-13 09:00:34.284228,9,Sunday,1,12184.59,0.13,P2P,Peer,Diane Jones,dianejones@oksbi,Punjab National Bank,26-35,Maharashtra,Melanie Mullen,melaniemullen@upi,State Bank of India,Android,4G,0
0b6a4f9c-e4bb-4711-b0a0-51b6f80b1866,2025-04-30 12:45:56.725518,12,Wednesday,0,770.78,0.009,P2P,Peer,Jonathan Barnes,jonathanbarnes@oksbi,HDFC Bank,26-35,Uttar Pradesh,Julie Sloan,juliesloan@upi,ICICI Bank,Android,5G,0
347792ae-b552-49d9-9eaa-73c901c732bc,2025-05-17 18:55:39.445533,18,Saturday,1,1157.36,0.017,P2P,Peer,Paula Bowen,paulabowen@upi,Canara Bank,46-60,West Bengal,Paul Vaughn,paulvaughn@okaxis,HDFC Bank,Android,4G,0
52617255-f03a-415a-bf39-09258c7dc9a5,2025-10-06 19:01:04.261146,19,Monday,0,978.09,0.01,P2P,Peer,Carla Park,carlapark@ibl,ICICI Bank,26-35,Rajasthan,Mark Shields,markshields@okaxis,Axis Bank,Android,4G,0
8a4fd74c-87f4-4477-a1d2-d2fb7916c330,2025-03-01 01:31:33.220922,1,Saturday,1,5158.43,0.558,P2P,Peer,Bridget Friedman,bridgetfriedman@okaxis,HDFC Bank,26-35,Karnataka,Alejandro Brown Jr.,alejandrobrownjr.@ibl,HDFC Bank,Android,WiFi,0
0462b519-3f51-436b-bb20-5aa7166bd9e0,2025-04-15 21:36:14.281186,21,Tuesday,0,4262.09,0.11,P2P,Peer,Cameron Fitzgerald,cameronfitzgerald@upi,State Bank of India,18-25,Rajasthan,Alejandro Brown Jr.,alejandrobrownjr.@ibl,Canara Bank,Android,WiFi,0
8c780c27-607e-4aee-bcce-6e759ed2ad5e,2025-07-12 00:47:49.429356,0,Saturday,1,2311.15,0.022,P2M,Grocery,Robert Higgins,roberthiggins@upi,State Bank of India,18-25,Odisha,Edwards-Ball,edwards-ball@ybl,Kotak Mahindra Bank,iOS,5G,0
062a1a0c-5952-4dc6-a2f1-97cd67bd5ee4,2025-07-24 11:27:13.579412,11,Thursday,0,1800.01,0.015,P2P,Peer,Bradley Allen,bradleyallen@okaxis,HDFC Bank,18-25,Maharashtra,William Gardner,williamgardner@oksbi,State Bank of India,Android,5G,0
6743998d-58e3-4409-8bcf-e4b805631a71,2025-03-18 21:15:27.514911,21,Tuesday,0,797.59,0.018,P2P,Peer,Aaron York,aaronyork@ybl,ICICI Bank,36-45,Uttar Pradesh,Deborah Gilbert,deborahgilbert@ibl,ICICI Bank,Web,5G,0
910bef3c-edda-44cd-8832-03800124314c,2025-02-24 13:29:06.694584,13,Monday,0,2240.38,0.051,P2M,Healthcare,Larry Mora,larrymora@okaxis,Bank of Baroda,26-35,Odisha,"Johnston, Davidson and Moss","johnston,davidsonandmoss@oksbi",State Bank of India,Android,5G,0
8d462400-57c6-45fd-ba24-92d4c8ef0141,2025-02-12 17:28:56.433928,17,Wednesday,0,1398.63,0.011,P2P,Peer,April Shaw,aprilshaw@okaxis,Kotak Mahindra Bank,36-45,Gujarat,Dominique Bailey,dominiquebailey@upi,State Bank of India,iOS,4G,0
d8024435-2d6d-411f-972d-d0cb7cf77490,2025-01-20 20:52:02.869712,20,Monday,0,2388.48,0.04,P2P,Peer,Fernando Mann,fernandomann@okaxis,Axis Bank,18-25,Karnataka,Ricky Hall,rickyhall@oksbi,ICICI Bank,Android,5G,0
70003627-52ab-4ac2-887b-bbc7fe818514,2025-02-04 02:18:43.140328,2,Tuesday,0,936.45,0.008,P2M,Bill Payment,Kimberly Munoz,kimberlymunoz@ybl,HDFC Bank,18-25,West Bengal,Butler Ltd,butlerltd@ibl,Punjab National Bank,Android,5G,0
5a110005-706e-45a6-98c2-988161bbd038,2025-07-09 02:49:19.878611,2,Wednesday,0,353.99,0.003,P2P,Peer,Joy Jenkins MD,joyjenkinsmd@ibl,Bank of Baroda,18-25,Tamil Nadu,Elizabeth Ray,elizabethray@ibl,State Bank of India,Android,4G,0
845101e8-8ad9-4725-bd71-e0bc19b117ff,2025-07-24 20:56:08.863497,20,Thursday,0,1508.4,0.012,P2P,Peer,Eugene Roth,eugeneroth@ybl,Axis Bank,36-45,Karnataka,Daniel Wood,danielwood@okaxis,Axis Bank,iOS,4G,0
3b2d5be5-a065-492b-9d15-56c634daf3a3,2025-12-01 11:29:09.475727,11,Monday,0,416.36,0.003,P2M,Bill Payment,Jason Arellano,jasonarellano@ibl,State Bank of India,36-45,Bihar,Berry-Douglas,berry-douglas@ibl,ICICI Bank,Android,WiFi,0
ce3d37ac-40b5-4d2d-9fd6-0bc776b296f0,2025-03-23 12:55:54.841165,12,Sunday,1,878.29,0.019,P2M,Recharge,Stacy Smith,stacysmith@ibl,Punjab National Bank,60+,Karnataka,Thomas Inc,thomasinc@oksbi,HDFC Bank,Android,5G,0
733ea58b-1e8c-4310-8d3a-be3c357e514b,2025-05-09 10:56:39.360326,10,Friday,0,3853.01,0.501,P2M,Others,Courtney Maldonado,courtneymaldonado@oksbi,Kotak Mahindra Bank,36-45,Odisha,Oliver LLC,oliverllc@okaxis,HDFC Bank,Android,WiFi,0
5464528e-a3f5-48e7-8f3a-1dfa277f9154,2025-03-04 12:21:23.495168,12,Tuesday,0,2175.87,0.015,P2P,Peer,Mr. James Diaz,mr.jamesdiaz@ybl,State Bank of India,60+,Uttar Pradesh,Leah Case,leahcase@oksbi,Kotak Mahindra Bank,Android,WiFi,0
c1b7b647-8175-49c2-9ef4-4ffd3db2444b,2025-08-20 17:52:06.769335,17,Wednesday,0,4788.33,0.138,P2P,Peer,Michael Martin,michaelmartin@upi,Axis Bank,26-35,Tamil Nadu,Kayla Sampson,kaylasampson@okaxis,Axis Bank,Android,WiFi,0
320e7f25-8766-4b1a-a03f-b9ae88f5009a,2025-01-28 12:48:53.753709,12,Tuesday,0,1910.75,0.202,P2P,Peer,Louis Sparks,louissparks@ibl,Axis Bank,26-35,Maharashtra,Duane Ramos,duaneramos@okaxis,State Bank of India,Android,4G,0
9d994ea1-f473-4ba7-8675-5f8de0d73de7,2025-08-22 18:33:54.641574,18,Friday,0,2402.86,0.041,P2M,Food Delivery,Mrs. Christina Garcia,mrs.christinagarcia@ibl,State Bank of India,46-60,Tamil Nadu,Beltran Group,beltrangroup@oksbi,HDFC Bank,iOS,5G,0
d7b173ec-e025-4912-a5cf-e3e300aacfdc,2025-01-12 13:17:13.364009,13,Sunday,1,927.53,0.006,P2P,Peer,Scott Ramos,scottramos@oksbi,Axis Bank,36-45,Maharashtra,Jessica Lambert,jessicalambert@okaxis,Bank of Baroda,Android,5G,0
75186531-780d-4c27-b3d3-25ecbb339611,2025-06-18 06:58:39.511115,6,Wednesday,0,1111.72,0.144,P2P,Peer,Michael Donovan,michaeldonovan@okaxis,Canara Bank,46-60,Tamil Nadu,Darlene Jennings,darlenejennings@ibl,Axis Bank,Android,WiFi,0
0168b448-c179-4217-a672-05d7e7cb4f74,2025-06-01 19:20:58.699201,19,Sunday,1,1155.35,0.007,P2P,Peer,Michelle Love,michellelove@okaxis,ICICI Bank,26-35,Maharashtra,Douglas Jimenez Jr.,douglasjimenezjr.@ibl,Axis Bank,Android,5G,0
18ceef56-ff3f-4306-a1e3-39cb5c4accf9,2025-08-25 17:41:39.345732,17,Monday,0,2402.38,0.02,P2P,Peer,Donna Walters,donnawalters@oksbi,Canara Bank,36-45,Uttar Pradesh,Sean King,seanking@upi,Canara Bank,Android,5G,0
1ff636b6-46fa-4f3c-b32e-2c26fff05936,2025-03-28 12:46:52.618880,12,Friday,0,3161.15,0.079,P2P,Peer,Amber Garcia,ambergarcia@upi,ICICI Bank,60+,Maharashtra,Selena Williams,selenawilliams@upi,Kotak Mahindra Bank,Android,4G,0
b9cb07a9-f2fc-4651-8c29-75b321e0c9e7,2025-03-20 18:17:42.315244,18,Thursday,0,317.04,0.023,P2P,Peer,Matthew Patterson,matthewpatterson@okaxis,State Bank of India,36-45,Uttar Pradesh,Michael Webb,michaelwebb@oksbi,Axis Bank,Android,WiFi,0
cabe845d-f4ec-4f7a-ac07-3cbd0e54f81a,2025-10-10 11:04:06.675601,11,Friday,0,1175.32,0.051,P2P,Peer,Kyle Collins,kylecollins@ibl,State Bank of India,36-45,Delhi,Brenda Jones,brendajones@ibl,Bank of Baroda,Android,5G,0
5da1ec0c-7326-429a-bba8-3593c5a4f667,2025-08-01 00:56:09.483762,0,Friday,0,1719.79,0.449,P2P,Peer,Courtney Maldonado,courtneymaldonado@oksbi,Kotak Mahindra Bank,36-45,Odisha,Lori Austin,loriaustin@upi,HDFC Bank,Android,WiFi,0
a66290bb-e13d-43fb-802e-3187ef73c903,2025-06-18 03:01:13.745109,3,Wednesday,0,2909.45,0.039,P2P,Peer,Victor Gomez,victorgomez@okaxis,Bank of Baroda,36-45,Maharashtra,Caleb Willis,calebwillis@oksbi,ICICI Bank,Android,WiFi,0
06c31532-c73a-43b1-bd89-10f4d20d4ebf,2025-02-04 12:50:34.919180,12,Tuesday,0,1390.09,0.014,P2M,Others,Vincent Perez,vincentperez@ybl,HDFC Bank,36-45,Bihar,"Hogan, Jones and Goodwin","hogan,jonesandgoodwin@ybl",ICICI Bank,Android,WiFi,0
06d1cabd-1144-4348-86ac-7cbe0d0a3f74,2025-09-09 12:58:17.600397,12,Tuesday,0,1972.68,0.177,P2P,Peer,Jennifer Smith,jennifersmith@oksbi,HDFC Bank,36-45,Tamil Nadu,Amber Barnes,amberbarnes@oksbi,Axis Bank,Android,WiFi,0
c6607546-45de-495d-bf6a-73265207f6fc,2025-07-14 17:12:47.989056,17,Monday,0,364.47,0.003,P2M,Food Delivery,Michael Cook,michaelcook@upi,ICICI Bank,36-45,Maharashtra,"Murray, King and Williams","murray,kingandwilliams@ibl",State Bank of India,iOS,WiFi,0
1d15eff1-9916-4912-a4d2-c9e96d7ee35a,2025-08-13 12:39:15.252281,12,Wednesday,0,79.1,0.001,P2M,Others,Lindsey Matthews,lindseymatthews@ibl,State Bank of India,26-35,Uttar Pradesh,Long-Burke,long-burke@okaxis,Kotak Mahindra Bank,Android,5G,0
ff4c225d-31fa-41e2-a68f-53c52a588f3d,2025-04-09 13:45:21.733354,13,Wednesday,0,377.51,0.004,P2P,Peer,Kristen Wilson,kristenwilson@ybl,ICICI Bank,18-25,Bihar,John Stewart,johnstewart@oksbi,ICICI Bank,Android,4G,0
d3ecab26-1746-47d0-86a2-16d7a7b59ace,2025-02-21 02:06:32.395142,2,Friday,0,6899.25,0.741,P2M,Grocery,Christopher Martinez,christophermartinez@ibl,HDFC Bank,26-35,Karnataka,Ryan Inc,ryaninc@ybl,Bank of Baroda,Android,WiFi,0
f1f3b962-20c0-45b9-a200-1cebe504fc2e,2025-01-04 23:34:27.119720,23,Saturday,1,1074.6,0.028,P2P,Peer,Troy Whitaker,troywhitaker@upi,ICICI Bank,60+,Maharashtra,Tom Allen,tomallen@okaxis,HDFC Bank,Android,4G,0
e2120e87-c1aa-4aac-98cc-7c2c321f36a4,2025-03-14 17:17:44.663810,17,Friday,0,1421.18,0.01,P2P,Peer,Melanie Rodriguez,melanierodriguez@ybl,HDFC Bank,46-60,Tamil Nadu,Jacob Thomas,jacobthomas@okaxis,State Bank of India,iOS,4G,0
000f7667-38ef-4eb1-8460-4eff6d157474,2025-07-08 18:38:18.073706,18,Tuesday,0,2045.93,0.025,P2P,Peer,Clayton Cantrell,claytoncantrell@okaxis,Axis Bank,18-25,Tamil Nadu,Bryan Griffin,bryangriffin@okaxis,Punjab National Bank,Android,4G,0
f85c9b5d-8290-4b69-a7d2-c9ecbe7f5c5e,2025-07-24 21:50:25.939014,21,Thursday,0,2956.69,0.034,P2M,Bill Payment,Martin Hernandez,martinhernandez@upi,Axis Bank,18-25,Karnataka,Mccoy Group,mccoygroup@ibl,State Bank of India,Android,WiFi,0
4c8b713e-f099-43a0-8113-3b71ab264146,2025-06-11 11:51:56.294811,11,Wednesday,0,4593.25,0.188,P2M,Entertainment,Angela Pollard,angelapollard@oksbi,Kotak Mahindra Bank,26-35,Gujarat,Whitney and Sons,whitneyandsons@upi,State Bank of India,Android,5G,0
2d0345c0-e6f2-4185-b54a-6fe4eba4bcfc,2025-03-13 11:12:16.454280,11,Thursday,0,1045.84,0.016,P2P,Peer,Pamela Whitehead,pamelawhitehead@ybl,Axis Bank,18-25,Uttar Pradesh,Jessica Phillips,jessicaphillips@ibl,HDFC Bank,Web,5G,0
15aac385-f7d4-458f-8a91-991cd2ae82bb,2025-06-03 12:16:12.483748,12,Tuesday,0,1683.59,0.018,P2M,Grocery,Ryan Clark,ryanclark@ibl,ICICI Bank,36-45,Uttar Pradesh,"Morris, Brown and Crawford","morris,brownandcrawford@ibl",Yes Bank,Android,4G,0
f9632379-6eb1-4ba9-9f52-51d5bced94f1,2025-06-15 01:01:16.942464,1,Sunday,1,5450.2,0.168,P2P,Peer,Michael Miller,michaelmiller@okaxis,HDFC Bank,60+,Karnataka,Madison Matthews,madisonmatthews@ibl,ICICI Bank,iOS,4G,0
ff80a36f-1725-41b0-88e6-b079f63b0ec2,2025-12-29 17:57:33.277887,17,Monday,0,517.85,0.005,P2P,Peer,Stephen Smith,stephensmith@okaxis,HDFC Bank,18-25,Uttar Pradesh,Jason Marsh,jasonmarsh@upi,ICICI Bank,Android,WiFi,0
30f89ed7-b3b8-4235-a13f-5f9dd36093cb,2025-11-19 20:18:32.445979,20,Wednesday,0,3465.01,0.173,P2P,Peer,Jennifer Sloan,jennifersloan@okaxis,Axis Bank,26-35,Odisha,Nancy Morales,nancymorales@ibl,State Bank of India,Android,WiFi,0
02bdf5de-38e0-4ec6-ad1e-0789bced1853,2025-03-19 11:35:33.933020,11,Wednesday,0,840.96,0.037,P2P,Peer,Michele Carter,michelecarter@ybl,Axis Bank,60+,Maharashtra,Frederick Tate,fredericktate@okaxis,State Bank of India,Android,5G,0
0e36c11a-b82e-4796-926d-f8a303495bf0,2025-04-29 23:35:25.624944,23,Tuesday,0,3594.58,0.064,P2P,Peer,Ricky Hall,rickyhall@oksbi,State Bank of India,36-45,Odisha,Steven French,stevenfrench@oksbi,Bank of Baroda,Android,4G,0
c30c3b2f-4533-4f32-b193-603e21700f5f,2025-09-01 17:38:06.919520,17,Monday,0,648.95,0.006,P2P,Peer,Robin Nelson,robinnelson@oksbi,Axis Bank,60+,Tamil Nadu,Sean Goodman,seangoodman@okaxis,Canara Bank,Android,5G,0
bb9e81e6-213a-424e-b661-871314d44979,2025-06-03 20:02:20.425262,20,Tuesday,0,17993.91,0.36,P2P,Peer,Alisha Phillips,alishaphillips@okaxis,Punjab National Bank,26-35,Uttar Pradesh,James Foster,jamesfoster@oksbi,Punjab National Bank,Android,5G,0
fb3356f2-cfeb-4ac9-9377-d47dd6ede125,2025-11-21 09:23:33.900678,9,Friday,0,361.89,1.0,P2P,Peer,Patrick Long,patricklong@upi,HDFC Bank,26-35,Maharashtra,Mary Potter,marypotter@upi,HDFC Bank,Android,4G,1
b845b081-13f7-4608-abf7-8616187a6b06,2025-09-08 17:08:54.561110,17,Monday,0,514.66,0.005,P2M,Food Delivery,Carlos Gutierrez,carlosgutierrez@ibl,Canara Bank,60+,West Bengal,Smith Inc,smithinc@oksbi,State Bank of India,Android,5G,0
7a6e07ae-b944-491f-8b6a-8d97aad62646,2025-04-06 21:35:14.587009,21,Sunday,1,991.38,0.025,P2P,Peer,Jane Price,janeprice@ybl,ICICI Bank,26-35,Maharashtra,Emily Howard,emilyhoward@upi,State Bank of India,Android,5G,0
97b03fed-524d-4c26-ab8a-bbdcdb2e869a,2025-07-30 08:43:03.843947,8,Wednesday,0,1295.19,0.01,P2P,Peer,Jocelyn Hood,jocelynhood@ibl,Axis Bank,26-35,Karnataka,Benjamin Vasquez,benjaminvasquez@ybl,Punjab National Bank,iOS,4G,0
69fbf479-7965-435c-a2c2-d1de78edbb37,2025-02-02 18:18:58.063441,18,Sunday,1,3604.57,0.104,P2M,Grocery,Laura Rodriguez,laurarodriguez@ibl,State Bank of India,26-35,Bihar,"Lopez, Coleman and Jackson","lopez,colemanandjackson@oksbi",Axis Bank,Android,WiFi,0
b4f4adab-1e3f-42a2-a0dd-a76ae74a11de,2025-11-08 13:16:58.772093,13,Saturday,1,1141.38,0.021,P2M,Grocery,Jade Bryant,jadebryant@okaxis,State Bank of India,26-35,Tamil Nadu,Fuller-Reeves,fuller-reeves@upi,Punjab National Bank,Android,4G,0
2791eba1-3d57-4b7a-a136-c3cbd63d80f8,2025-11-29 17:51:42.563393,17,Saturday,1,324.61,0.004,P2P,Peer,Leah Bowen,leahbowen@ybl,Kotak Mahindra Bank,18-25,Maharashtra,Casey Wise,caseywise@upi,ICICI Bank,Android,5G,0
d9e97891-da48-4ec7-86cd-98de076b38ba,2025-06-02 13:58:31.849556,13,Monday,0,4414.79,0.036,P2P,Peer,Johnathan Reynolds MD,johnathanreynoldsmd@okaxis,State Bank of India,60+,Maharashtra,Julie Reynolds,juliereynolds@ybl,HDFC Bank,Android,4G,0
f6540638-39c6-4efd-9753-b8024b535ccc,2025-11-10 12:06:41.725081,12,Monday,0,612.69,0.005,P2M,Bill Payment,Colleen Bishop,colleenbishop@ybl,ICICI Bank,46-60,Rajasthan,Williamson and Sons,williamsonandsons@upi,Bank of Baroda,Android,4G,0
f1ff451d-3a62-4f85-b901-a4cf585f4d55,2025-10-14 22:00:14.615926,22,Tuesday,0,2902.9,0.067,P2M,Others,Paige Sexton,paigesexton@okaxis,Axis Bank,46-60,Uttar Pradesh,Maynard-James,maynard-james@ibl,HDFC Bank,Android,5G,0
7f75f41a-4ffd-4a69-9aef-82fe83c2eb7a,2025-08-10 12:24:14.100358,12,Sunday,1,2245.94,0.122,P2M,Recharge,Todd Hart,toddhart@ybl,Axis Bank,36-45,Uttar Pradesh,Thomas-Bass,thomas-bass@ibl,Yes Bank,iOS,4G,0
44007505-901f-48bb-bc9e-61142657c924,2025-03-16 11:42:49.378504,11,Sunday,1,5603.72,0.912,P2P,Peer,Kevin Frank,kevinfrank@oksbi,ICICI Bank,46-60,Uttar Pradesh,Matthew Bright,matthewbright@upi,HDFC Bank,Android,WiFi,0
cd5e49c9-6ab1-4e0e-9cbd-6b59cf84ce42,2025-08-02 01:00:20.495910,1,Saturday,1,143.88,0.002,P2M,Grocery,Kristen Wilson,kristenwilson@ybl,ICICI Bank,18-25,Bihar,"Cooke, Simmons and Thomas","cooke,simmonsandthomas@upi",HDFC Bank,Android,4G,0
74fd8ebf-a1cd-46bf-bd00-747e458bc603,2025-03-13 19:57:43.971357,19,Thursday,0,9379.05,0.115,P2M,Others,Christina Wells,christinawells@okaxis,Punjab National Bank,36-45,Tamil Nadu,Gilbert-Roberts,gilbert-roberts@ybl,State Bank of India,Android,4G,0
554ad79a-2dc4-4168-913c-fd3073104a3a,2025-09-29 18:12:32.057075,18,Monday,0,2549.43,0.031,P2M,Food Delivery,Diane Jones,dianejones@oksbi,Punjab National Bank,26-35,Maharashtra,"Mclaughlin, Gonzalez and Duran","mclaughlin,gonzalezandduran@oksbi",ICICI Bank,Android,5G,0
7ebf3766-91d2-41d7-98ab-a841e67cc223,2025-07-02 13:46:17.799298,13,Wednesday,0,1447.83,0.013,P2M,Bill Payment,David Welch,davidwelch@okaxis,HDFC Bank,46-60,Gujarat,"Valenzuela, Colon and Avila","valenzuela,colonandavila@upi",Axis Bank,Android,WiFi,0
10b92511-ffc1-4b27-89ab-c5732529be93,2025-06-09 23:06:53.272832,23,Monday,0,2169.89,0.016,P2P,Peer,Heidi Boyle,heidiboyle@oksbi,ICICI Bank,36-45,Delhi,Ronald Wiley,ronaldwiley@upi,HDFC Bank,Android,WiFi,0
a5dc9d8f-741c-4176-81da-cac82a90f0c4,2025-11-03 04:11:33.285726,4,Monday,0,1355.92,0.148,P2P,Peer,Robert Murphy,robertmurphy@okaxis,Kotak Mahindra Bank,18-25,Tamil Nadu,Laura Freeman,laurafreeman@okaxis,State Bank of India,Android,4G,0
9ea8fb7f-672d-4e58-a77f-6950a4f381f8,2025-10-09 05:40:30.444822,5,Thursday,0,1562.66,0.023,P2P,Peer,Courtney Williams,courtneywilliams@ibl,ICICI Bank,26-35,West Bengal,Jennifer Ware,jenniferware@okaxis,Axis Bank,iOS,5G,0
1e6d80cc-2c30-41e2-833e-107df6735ca6,2025-05-24 20:00:31.849545,20,Saturday,1,460.96,0.004,P2P,Peer,Jeffrey Gordon,jeffreygordon@ybl,Canara Bank,46-60,Karnataka,Samantha Reed,samanthareed@upi,ICICI Bank,Android,5G,0
d8807525-c2d3-4e02-9090-0a9beb574fab,2025-12-23 12:11:20.803595,12,Tuesday,0,3555.57,0.056,P2M,Bill Payment,William Gardner,williamgardner@oksbi,Axis Bank,46-60,Uttar Pradesh,Holden LLC,holdenllc@upi,HDFC Bank,Android,5G,0
29bf0ec0-09a3-4e7a-90af-16fde75fdd2e,2025-01-31 06:51:44.436127,6,Friday,0,3809.54,0.058,P2P,Peer,Rachel White,rachelwhite@ybl,Bank of Baroda,36-45,Tamil Nadu,Paul Vaughn,paulvaughn@okaxis,State Bank of India,Android,5G,0
04b70669-2c6b-4270-9e0f-b8e19392e877,2025-05-21 20:50:30.155329,20,Wednesday,0,6143.0,0.472,P2M,Grocery,Stephen Wilson,stephenwilson@ybl,Bank of Baroda,36-45,Karnataka,Myers-Gonzalez,myers-gonzalez@ibl,State Bank of India,Android,WiFi,0
a3784e53-d1ea-42a2-862a-b275ec25064e,2025-01-03 11:13:58.993595,11,Friday,0,5284.35,0.283,P2P,Peer,Bradley Zavala,bradleyzavala@oksbi,State Bank of India,18-25,Tamil Nadu,Karl Jones,karljones@ybl,ICICI Bank,Android,5G,0
1154084f-e132-4c1c-857c-bc9f00f7b297,2025-01-09 19:41:22.383050,19,Thursday,0,2130.2,0.016,P2P,Peer,Stephen Horne,stephenhorne@upi,HDFC Bank,26-35,West Bengal,Rachel Morris,rachelmorris@upi,Yes Bank,Android,4G,0
